day,hour,pixel_color,count
"","",#000000,33306
"","",#FFFFFF,32117
"","",#FF4500,14396
"","",#2450A4,9768
"","",#FFD635,8462
"","",#BE0039,5818
"","",#51E9F4,5559
"","",#811E9F,5292
"","",#FFA800,4962
"","",#FF99AA,4779
1,12,#FFFFFF,4
1,12,#2450A4,3
1,12,#00A368,2
1,12,#3690EA,2
1,12,#811E9F,2
1,12,#FFA800,2
1,12,#51E9F4,1
1,12,#7EED56,1
1,12,#D4D7D9,1
1,12,#FF4500,1
1,13,#000000,117357
1,13,#2450A4,83067
1,13,#FF4500,69979
1,13,#FFD635,66877
1,13,#FF99AA,34674
1,13,#FFFFFF,32164
1,13,#51E9F4,24307
1,13,#7EED56,21942
1,13,#00A368,21753
1,13,#811E9F,19399
1,14,#000000,198524
1,14,#FF4500,123001
1,14,#2450A4,115119
1,14,#FFFFFF,89749
1,14,#FFD635,87562
1,14,#51E9F4,38085
1,14,#FF99AA,37805
1,14,#00A368,33049
1,14,#7EED56,30784
1,14,#811E9F,26787
1,15,#000000,242750
1,15,#FF4500,147939
1,15,#FFFFFF,137571
1,15,#2450A4,98582
1,15,#FFD635,74204
1,15,#FF99AA,43028
1,15,#51E9F4,42772
1,15,#00A368,35422
1,15,#7EED56,33442
1,15,#FFA800,32402
1,16,#000000,246355
1,16,#FF4500,157815
1,16,#FFFFFF,155220
1,16,#2450A4,99163
1,16,#FFD635,78677
1,16,#FF99AA,51494
1,16,#51E9F4,49097
1,16,#00A368,40621
1,16,#7EED56,37135
1,16,#FFA800,36170
1,17,#000000,262205
1,17,#FFFFFF,164958
1,17,#FF4500,157142
1,17,#2450A4,98614
1,17,#FFD635,77420
1,17,#51E9F4,51572
1,17,#FF99AA,49922
1,17,#FFA800,43259
1,17,#00A368,40571
1,17,#7EED56,33254
1,18,#000000,277770
1,18,#FFFFFF,185600
1,18,#FF4500,168663
1,18,#2450A4,106519
1,18,#FFD635,79492
1,18,#51E9F4,56246
1,18,#00A368,49053
1,18,#FFA800,48441
1,18,#FF99AA,48089
1,18,#7EED56,36962
1,19,#000000,283185
1,19,#FFFFFF,181044
1,19,#FF4500,159770
1,19,#2450A4,103238
1,19,#FFD635,82413
1,19,#00A368,58422
1,19,#51E9F4,53200
1,19,#FFA800,48767
1,19,#FF99AA,45781
1,19,#7EED56,37953
1,20,#000000,355365
1,20,#FFFFFF,238791
1,20,#FF4500,184169
1,20,#2450A4,113751
1,20,#FFD635,84506
1,20,#FF99AA,68958
1,20,#00A368,63731
1,20,#51E9F4,53738
1,20,#FFA800,48203
1,20,#811E9F,40062
1,21,#000000,310187
1,21,#FFFFFF,229217
1,21,#FF4500,196338
1,21,#2450A4,112061
1,21,#FFD635,87262
1,21,#FF99AA,74141
1,21,#00A368,67845
1,21,#51E9F4,51183
1,21,#FFA800,43462
1,21,#811E9F,37005
1,22,#000000,302269
1,22,#FF4500,217666
1,22,#FFFFFF,207045
1,22,#2450A4,112031
1,22,#FFD635,79045
1,22,#00A368,74322
1,22,#FF99AA,66091
1,22,#51E9F4,48083
1,22,#FFA800,36696
1,22,#7EED56,33247
1,23,#000000,307051
1,23,#FFFFFF,209090
1,23,#FF4500,185334
1,23,#2450A4,106285
1,23,#FFD635,76299
1,23,#00A368,69995
1,23,#FF99AA,66310
1,23,#51E9F4,53249
1,23,#7EED56,35958
1,23,#811E9F,35298
2,0,#000000,267719
2,0,#FFFFFF,172353
2,0,#FF4500,159460
2,0,#2450A4,85658
2,0,#FFD635,80180
2,0,#FF99AA,59759
2,0,#00A368,51350
2,0,#51E9F4,49628
2,0,#7EED56,29685
2,0,#FFA800,27940
2,1,#000000,224726
2,1,#FFFFFF,156952
2,1,#FF4500,136194
2,1,#FFD635,77924
2,1,#2450A4,77607
2,1,#51E9F4,47802
2,1,#FF99AA,46043
2,1,#00A368,38682
2,1,#7EED56,29691
2,1,#FFA800,29461
2,2,#000000,226693
2,2,#FFFFFF,152368
2,2,#FF4500,136396
2,2,#2450A4,69621
2,2,#FFD635,62573
2,2,#51E9F4,53864
2,2,#FF99AA,46461
2,2,#00A368,37732
2,2,#7EED56,29604
2,2,#FFA800,27131
2,3,#000000,238428
2,3,#FFFFFF,150084
2,3,#FF4500,124389
2,3,#2450A4,68979
2,3,#FFD635,53152
2,3,#51E9F4,52896
2,3,#FF99AA,42682
2,3,#00A368,33945
2,3,#FFA800,30398
2,3,#7EED56,25479
2,4,#000000,247023
2,4,#FFFFFF,144913
2,4,#FF4500,108981
2,4,#2450A4,61482
2,4,#51E9F4,48400
2,4,#FFD635,45939
2,4,#FF99AA,38026
2,4,#00A368,34200
2,4,#FFA800,30445
2,4,#7EED56,23809
2,5,#000000,215245
2,5,#FFFFFF,137101
2,5,#FF4500,105028
2,5,#2450A4,56194
2,5,#FFD635,45456
2,5,#51E9F4,39416
2,5,#FF99AA,37323
2,5,#00A368,33067
2,5,#FFA800,28949
2,5,#7EED56,21370
2,6,#000000,186233
2,6,#FFFFFF,132409
2,6,#FF4500,107933
2,6,#2450A4,53857
2,6,#FFD635,47629
2,6,#FF99AA,38480
2,6,#51E9F4,34929
2,6,#FFA800,30572
2,6,#00A368,30316
2,6,#7EED56,20647
2,7,#000000,171144
2,7,#FFFFFF,133210
2,7,#FF4500,117854
2,7,#2450A4,62721
2,7,#FFD635,43222
2,7,#51E9F4,36188
2,7,#FF99AA,34024
2,7,#00A368,30676
2,7,#FFA800,29822
2,7,#3690EA,19997
2,8,#000000,183595
2,8,#FFFFFF,129586
2,8,#FF4500,127761
2,8,#2450A4,61869
2,8,#FFD635,44281
2,8,#FF99AA,32885
2,8,#51E9F4,31921
2,8,#00A368,29845
2,8,#FFA800,28457
2,8,#811E9F,21632
2,9,#000000,180177
2,9,#FF4500,139965
2,9,#FFFFFF,139950
2,9,#2450A4,70047
2,9,#FFD635,47916
2,9,#FF99AA,35813
2,9,#51E9F4,35026
2,9,#00A368,29115
2,9,#FFA800,28741
2,9,#811E9F,22382
2,10,#000000,205843
2,10,#FFFFFF,145129
2,10,#FF4500,135168
2,10,#2450A4,70068
2,10,#FFD635,52766
2,10,#FF99AA,38984
2,10,#FFA800,32580
2,10,#00A368,32564
2,10,#51E9F4,31916
2,10,#811E9F,24314
2,11,#000000,213934
2,11,#FFFFFF,165702
2,11,#FF4500,149109
2,11,#2450A4,79160
2,11,#FFD635,56485
2,11,#FF99AA,39174
2,11,#00A368,38322
2,11,#FFA800,32485
2,11,#51E9F4,32001
2,11,#811E9F,24007
2,12,#000000,234789
2,12,#FFFFFF,188017
2,12,#FF4500,159091
2,12,#2450A4,90528
2,12,#FFD635,66482
2,12,#FF99AA,49795
2,12,#51E9F4,42276
2,12,#00A368,41264
2,12,#FFA800,34933
2,12,#811E9F,29260
2,13,#000000,262912
2,13,#FFFFFF,200528
2,13,#FF4500,186194
2,13,#2450A4,89725
2,13,#FFD635,71994
2,13,#FF99AA,50022
2,13,#51E9F4,47860
2,13,#00A368,44016
2,13,#FFA800,36496
2,13,#811E9F,28273
2,14,#000000,290777
2,14,#FF4500,229013
2,14,#FFFFFF,217930
2,14,#2450A4,117266
2,14,#FFD635,76344
2,14,#FF99AA,55185
2,14,#00A368,53513
2,14,#51E9F4,52273
2,14,#FFA800,49836
2,14,#7EED56,29680
2,15,#000000,304992
2,15,#FFFFFF,230224
2,15,#FF4500,219731
2,15,#2450A4,105395
2,15,#FFD635,82166
2,15,#FF99AA,69200
2,15,#51E9F4,53580
2,15,#00A368,48302
2,15,#7EED56,45921
2,15,#FFA800,41716
2,16,#000000,411120
2,16,#FF4500,226951
2,16,#FFFFFF,215052
2,16,#2450A4,105778
2,16,#FFD635,93814
2,16,#FF99AA,85134
2,16,#51E9F4,63628
2,16,#00A368,62246
2,16,#FFA800,49896
2,16,#7EED56,39064
2,17,#000000,440438
2,17,#FF4500,244727
2,17,#FFFFFF,233933
